CGDID	A19ID	GeneName
C1_00010W_A	orf19.6115	
C1_00020C_A	orf19.6114	
C1_00030C_A	orf19.6113	
C1_00040W_A	orf19.6112	CTA2
C1_00050C_A	orf19.6110	
C1_00060W_A	orf19.6109	TUP1
C1_00070W_A	orf19.6105	MVD
C1_00080C_A	orf19.6102	RCA1
C1_00090W_A	orf19.6103	
C1_00100C_A	orf19.6100	
C1_00110W_A	orf19.6099	CCT8
C1_00120C_A	orf19.6096	TRP1
C1_00130C_A	orf19.6094	VPS53
C1_00140W_A	orf19.6092	KEL1
C1_00150C_A	orf19.6091	RIM8
C1_00160C_A	orf19.6090	
C1_00170W_A	orf19.6086	LEU4
C1_00180W_A	orf19.6085	RPL16A
C1_00190C_A	orf19.6084	
C1_00200C_A	orf19.6083	
C1_00210C_A	orf19.6082	
C1_00220W_A	orf19.6081	PHR2
C1_00230C_A	orf19.6080	BFA1
C1_00240C_A	tT(AGU)6	tT(AGU)6
C1_00270W_A	orf19.6079	
C1_00280C_A	orf19.6078.1	RFC52
C1_00290W_A	orf19.6078	POL93
C1_00310W_A	orf19.6077	
C1_00320W_A	orf19.6076	
C1_00330C_A	orf19.6075	
C1_00340W_A	orf19.6074	HBR1
C1_00350C_A	orf19.6073	HMX1
C1_00360W_A	orf19.6072	CDC13
C1_00370W_A	orf19.6072.1	
C1_00380C_A	orf19.6071	NAA25
C1_00390W_A	orf19.6070	ENA2
C1_00400W_A	orf19.6068	SVF1
C1_00410C_A	orf19.6066	
C1_00420W_A	orf19.6065	
C1_00430W_A	orf19.6064	
C1_00440W_A	orf19.6063	UBP6
C1_00450C_A	orf19.6062.3	
C1_00460W_A	orf19.6062	
C1_00470C_A	orf19.6061	
C1_00480C_A	orf19.6060	GCN20
C1_00490C_A	orf19.6059	TTR1
C1_00500C_A	orf19.6058	GLO1
C1_00510W_A	orf19.6057	
C1_00520W_A	orf19.6056	
C1_00530C_A	orf19.6055	
C1_00540C_A	orf19.6054	
C1_00550W_A	orf19.6053	CIS2
C1_00560W_A	orf19.6052	CNS1
C1_00570C_A	orf19.6049	
C1_00580W_A	orf19.6048	
C1_00590W_A	orf19.6047	TUF1
C1_00600W_A	orf19.6046	APC1
C1_00610W_A	orf19.6045	PSD1
C1_00620W_A	orf19.6044	MOB2
C1_00630W_A	orf19.6043	
C1_00640C_A	orf19.6041	RPO41
C1_00650C_A	orf19.6040	SNF7
C1_00660C_A	orf19.6039	
C1_00670C_A	orf19.6038	UGA32
C1_00680W_A	orf19.6037	ASM3
C1_00690W_A	orf19.6036	RIC1
C1_00700W_A	orf19.6035	
C1_00710C_A	orf19.6034	TUB2
